seed,truth,estimate,error,ci_low,ci_high,covered,design,leakage_pct
3001,0.093489978048465,0.0818978320250454,-0.0115921460234196,0.0715122419282577,0.1027997723206514,True,V4 clean control,10
3001,0.093489978048465,0.1272314910924855,0.0337415130440205,0.115574649617065,0.1451296309825238,False,V1 compset control,25
3001,0.093489978048465,0.2455838426143031,0.152093864565838,0.1712206057498901,0.3716766911618077,False,V3 EG-overall LY,25
3001,0.093489978048465,0.0867435069032837,-0.0067464711451813,0.0763114011452777,0.1077390641782375,True,V4 clean control,25
3001,0.093489978048465,0.1272314910924855,0.0337415130440205,0.115574649617065,0.1451296309825238,False,V1 compset control,50
3001,0.093489978048465,0.2455838426143031,0.152093864565838,0.1712206057498901,0.3716766911618077,False,V3 EG-overall LY,50
3001,0.093489978048465,0.0948966707716208,0.0014066927231557,0.0843862993812949,0.1160497447171431,True,V4 clean control,50
3001,0.093489978048465,0.1272314910924855,0.0337415130440205,0.115574649617065,0.1451296309825238,False,V1 compset control,100
3001,0.093489978048465,0.2455838426143031,0.152093864565838,0.1712206057498901,0.3716766911618077,False,V3 EG-overall LY,100
3001,0.093489978048465,0.1114977132125471,0.018007735164082,0.1008279814677894,0.1329715142985386,False,V4 clean control,100
3002,0.0927917157596796,0.11055249067891215,0.017760774919232558,0.09944375758781246,0.12263870852381095,False,V1 compset control,0
3002,0.0927917157596796,0.027067877218841217,-0.06572383854083838,-0.04149527302002452,0.15526862108528666,True,V3 EG-overall LY,0
3002,0.0927917157596796,0.08033747926635584,-0.01245423649332375,0.06645717800489084,0.08905612212625884,False,V4 clean control,0
3002,0.0927917157596796,0.11055249067891215,0.017760774919232558,0.09944375758781246,0.12263870852381095,False,V1 compset control,10
3002,0.0927917157596796,0.027067877218841217,-0.06572383854083838,-0.04149527302002452,0.15526862108528666,True,V3 EG-overall LY,10
3002,0.0927917157596796,0.08375796723052617,-0.009033748529153424,0.06983371914289324,0.09250421443956876,False,V4 clean control,10
3002,0.0927917157596796,0.11055249067891215,0.017760774919232558,0.09944375758781246,0.12263870852381095,False,V1 compset control,25
3002,0.0927917157596796,0.027067877218841217,-0.06572383854083838,-0.04149527302002452,0.15526862108528666,True,V3 EG-overall LY,25
3002,0.0927917157596796,0.08892035038663933,-0.003871365373040267,0.07492977540133876,0.09770825955401234,True,V4 clean control,25
3002,0.0927917157596796,0.11055249067891215,0.017760774919232558,0.09944375758781246,0.12263870852381095,False,V1 compset control,50
3002,0.0927917157596796,0.027067877218841217,-0.06572383854083838,-0.04149527302002452,0.15526862108528666,True,V3 EG-overall LY,50
3002,0.0927917157596796,0.09760968639075143,0.004817970631071838,0.08350746980843714,0.10646772106868352,True,V4 clean control,50
3002,0.0927917157596796,0.11055249067891215,0.017760774919232558,0.09944375758781246,0.12263870852381095,False,V1 compset control,100
3002,0.0927917157596796,0.027067877218841217,-0.06572383854083838,-0.04149527302002452,0.15526862108528666,True,V3 EG-overall LY,100
3002,0.0927917157596796,0.11531510332964183,0.022523387569962236,0.10098540549652539,0.12431602595688468,False,V4 clean control,100
3003,0.09327848961196317,0.11875007311204852,0.025471583500085354,0.11060134334679916,0.12660952030258474,False,V1 compset control,0
3003,0.09327848961196317,0.058869584741216514,-0.03440890487074665,-0.10059902600732731,0.12785432653640516,True,V3 EG-overall LY,0
3003,0.09327848961196317,0.08850139632771567,-0.004777093284247497,0.06975194008899327,0.10681359576666857,True,V4 clean control,0
3003,0.09327848961196317,0.11875007311204852,0.025471583500085354,0.11060134334679916,0.12660952030258474,False,V1 compset control,10
3003,0.09327848961196317,0.058869584741216514,-0.03440890487074665,-0.10059902600732731,0.12785432653640516,True,V3 EG-overall LY,10
3003,0.09327848961196317,0.09174386408340987,-0.0015346255285532961,0.07293855627895118,0.11011061257155742,True,V4 clean control,10
3003,0.09327848961196317,0.11875007311204852,0.025471583500085354,0.11060134334679916,0.12660952030258474,False,V1 compset control,25
